,,,,,current,current,current,21-Apr,21-Apr,21-Apr,25-Apr,25-Apr,25-Apr,27-Apr,27-Apr,27-Apr,28-Apr,28-Apr,28-Apr,4-May,4-May,4-May,9-May,9-May,9-May,11-May,11-May,11-May,||,4/21|,|,|,4/25|,|,|,4/27|,|,|,4/28|,|,|,5/4|,|,|,5/9|,|,|,5/11|,|,|,||4/21|||4/25|||4/27|||4/28|||5/4|||5/9|||5/11||
GB,Green Bay Packers,2023,reg,nfl,7.5,-110,-110,7.5,120,-150,7.5,120,-150,7.5,120,-150,7.5,120,-150,7.5,125,-145,7.5,120,-140,7.5,-110,-110,|Green Bay Packers|,7.5|,120|,-150|,7.5|,120|,-150|,7.5|,120|,-150|,7.5|,120|,-150|,7.5|,125|,-145|,7.5|,120|,-140|,7.5|,-110|,-110|,|Green Bay Packers|7.5|120|-150|7.5|120|-150|7.5|120|-150|7.5|120|-150|7.5|125|-145|7.5|120|-140|7.5|-110|-110|
HOU,Houston Texans,2023,reg,nfl,6.5,110,-130,5.5,-110,-110,5.5,-110,-110,5.5,-110,-110,5.5,-110,-110,6.5,110,-130,6.5,110,-130,6.5,110,-130,|Houston Texans|,5.5|,-110|,-110|,5.5|,-110|,-110|,5.5|,-110|,-110|,5.5|,-110|,-110|,6.5|,110|,-130|,6.5|,110|,-130|,6.5|,110|,-130|,|Houston Texans|5.5|-110|-110|5.5|-110|-110|5.5|-110|-110|5.5|-110|-110|6.5|110|-130|6.5|110|-130|6.5|110|-130|
IND,Indianapolis Colts,2023,reg,nfl,6.5,-140,120,6.5,-140,115,6.5,-140,115,6.5,-140,115,6.5,-140,115,6.5,-140,120,6.5,-140,120,6.5,-140,120,|Indianapolis Colts|,6.5|,-140|,115|,6.5|,-140|,115|,6.5|,-140|,115|,6.5|,-140|,115|,6.5|,-140|,120|,6.5|,-140|,120|,6.5|,-140|,120|,|Indianapolis Colts|6.5|-140|115|6.5|-140|115|6.5|-140|115|6.5|-140|115|6.5|-140|120|6.5|-140|120|6.5|-140|120|
JAC,Jacksonville Jaguars,2023,reg,nfl,10.5,125,-145,10.5,115,-140,10.5,115,-140,10.5,115,-140,10.5,115,-140,10.5,125,-145,10.5,125,-145,10.5,125,-145,|Jacksonville Jaguars|,10.5|,115|,-140|,10.5|,115|,-140|,10.5|,115|,-140|,10.5|,115|,-140|,10.5|,125|,-145|,10.5|,125|,-145|,10.5|,125|,-145|,|Jacksonville Jaguars|10.5|115|-140|10.5|115|-140|10.5|115|-140|10.5|115|-140|10.5|125|-145|10.5|125|-145|10.5|125|-145|
KC,Kansas City Chiefs,2023,reg,nfl,11.5,-140,120,11.5,-110,-110,11.5,-110,-110,11.5,-140,115,11.5,-140,115,11.5,-140,120,11.5,-140,120,11.5,-140,120,|Kansas City Chiefs|,11.5|,-110|,-110|,11.5|,-110|,-110|,11.5|,-140|,115|,11.5|,-140|,115|,11.5|,-140|,120|,11.5|,-140|,120|,11.5|,-140|,120|,|Kansas City Chiefs|11.5|-110|-110|11.5|-110|-110|11.5|-140|115|11.5|-140|115|11.5|-140|120|11.5|-140|120|11.5|-140|120|
LAC,Los Angeles Chargers,2023,reg,nfl,9.5,-110,-110,9.5,-125,105,9.5,-125,105,9.5,-125,105,9.5,-125,105,9.5,-110,-110,9.5,-110,-110,9.5,-110,-110,|Los Angeles Chargers|,9.5|,-125|,105|,9.5|,-125|,105|,9.5|,-125|,105|,9.5|,-125|,105|,9.5|,-110|,-110|,9.5|,-110|,-110|,9.5|,-110|,-110|,|Los Angeles Chargers|9.5|-125|105|9.5|-125|105|9.5|-125|105|9.5|-125|105|9.5|-110|-110|9.5|-110|-110|9.5|-110|-110|
LAR,Los Angeles Rams,2023,reg,nfl,7.5,125,-145,7.5,110,-130,7.5,110,-130,7.5,110,-130,7.5,110,-130,7.5,120,-140,7.5,125,-145,7.5,125,-145,|Los Angeles Rams|,7.5|,110|,-130|,7.5|,110|,-130|,7.5|,110|,-130|,7.5|,110|,-130|,7.5|,120|,-140|,7.5|,125|,-145|,7.5|,125|,-145|,|Los Angeles Rams|7.5|110|-130|7.5|110|-130|7.5|110|-130|7.5|110|-130|7.5|120|-140|7.5|125|-145|7.5|125|-145|
LV,Las Vegas Raiders,2023,reg,nfl,7.5,130,-150,7.5,120,-150,7.5,120,-150,7.5,120,-150,7.5,120,-150,7.5,130,-150,7.5,130,-150,7.5,130,-150,|Las Vegas Raiders|,7.5|,120|,-150|,7.5|,120|,-150|,7.5|,120|,-150|,7.5|,120|,-150|,7.5|,130|,-150|,7.5|,130|,-150|,7.5|,130|,-150|,|Las Vegas Raiders|7.5|120|-150|7.5|120|-150|7.5|120|-150|7.5|120|-150|7.5|130|-150|7.5|130|-150|7.5|130|-150|
MIA,Miami Dolphins,2023,reg,nfl,9.5,100,-120,9.5,100,-120,9.5,100,-120,9.5,100,-120,9.5,100,-120,9.5,100,-120,9.5,100,-120,9.5,100,-120,|Miami Dolphins|,9.5|,100|,-120|,9.5|,100|,-120|,9.5|,100|,-120|,9.5|,100|,-120|,9.5|,100|,-120|,9.5|,100|,-120|,9.5|,100|,-120|,|Miami Dolphins|9.5|100|-120|9.5|100|-120|9.5|100|-120|9.5|100|-120|9.5|100|-120|9.5|100|-120|9.5|100|-120|
NE,New England Patriots,2023,reg,nfl,7.5,-120,100,7.5,-120,100,7.5,-120,100,7.5,-120,100,7.5,-120,100,7.5,-120,100,7.5,-120,100,7.5,-120,100,|New England Patriots|,7.5|,-120|,100|,7.5|,-120|,100|,7.5|,-120|,100|,7.5|,-120|,100|,7.5|,-120|,100|,7.5|,-120|,100|,7.5|,-120|,100|,|New England Patriots|7.5|-120|100|7.5|-120|100|7.5|-120|100|7.5|-120|100|7.5|-120|100|7.5|-120|100|7.5|-120|100|
NO,New Orleans Saints,2023,reg,nfl,9.5,105,-125,9.5,105,-125,9.5,105,-125,9.5,105,-125,9.5,105,-125,9.5,105,-125,9.5,105,-125,9.5,105,-125,|New Orleans Saints|,9.5|,105|,-125|,9.5|,105|,-125|,9.5|,105|,-125|,9.5|,105|,-125|,9.5|,105|,-125|,9.5|,105|,-125|,9.5|,105|,-125|,|New Orleans Saints|9.5|105|-125|9.5|105|-125|9.5|105|-125|9.5|105|-125|9.5|105|-125|9.5|105|-125|9.5|105|-125|
NYG,New York Giants,2023,reg,nfl,8.5,120,-140,8.5,105,-125,8.5,105,-125,8.5,105,-125,8.5,105,-125,8.5,115,-140,8.5,120,-140,8.5,120,-140,|New York Giants|,8.5|,105|,-125|,8.5|,105|,-125|,8.5|,105|,-125|,8.5|,105|,-125|,8.5|,115|,-140|,8.5|,120|,-140|,8.5|,120|,-140|,|New York Giants|8.5|105|-125|8.5|105|-125|8.5|105|-125|8.5|105|-125|8.5|115|-140|8.5|120|-140|8.5|120|-140|
NYJ,New York Jets,2023,reg,nfl,9.5,-145,125,9.5,-130,110,9.5,-145,125,9.5,-145,125,9.5,-145,125,9.5,-145,125,9.5,-145,125,9.5,-145,125,|New York Jets|,9.5|,-130|,110|,9.5|,-145|,125|,9.5|,-145|,125|,9.5|,-145|,125|,9.5|,-145|,125|,9.5|,-145|,125|,9.5|,-145|,125|,|New York Jets|9.5|-130|110|9.5|-145|125|9.5|-145|125|9.5|-145|125|9.5|-145|125|9.5|-145|125|9.5|-145|125|
PHI,Philadelphia Eagles,2023,reg,nfl,10.5,-150,130,10.5,-150,120,10.5,-150,120,10.5,-150,120,10.5,-150,120,10.5,-150,130,10.5,-150,130,10.5,-150,130,|Philadelphia Eagles|,10.5|,-150|,120|,10.5|,-150|,120|,10.5|,-150|,120|,10.5|,-150|,120|,10.5|,-150|,130|,10.5|,-150|,130|,10.5|,-150|,130|,|Philadelphia Eagles|10.5|-150|120|10.5|-150|120|10.5|-150|120|10.5|-150|120|10.5|-150|130|10.5|-150|130|10.5|-150|130|
PIT,Pittsburgh Steelers,2023,reg,nfl,8.5,-130,110,8.5,-120,100,8.5,-120,100,8.5,-120,100,8.5,-120,100,8.5,-130,110,8.5,-130,110,8.5,-130,110,|Pittsburgh Steelers|,8.5|,-120|,100|,8.5|,-120|,100|,8.5|,-120|,100|,8.5|,-120|,100|,8.5|,-130|,110|,8.5|,-130|,110|,8.5|,-130|,110|,|Pittsburgh Steelers|8.5|-120|100|8.5|-120|100|8.5|-120|100|8.5|-120|100|8.5|-130|110|8.5|-130|110|8.5|-130|110|
SF,San Francisco 49ers,2023,reg,nfl,10.5,-120,100,11.5,115,-135,11.5,115,-135,11.5,115,-135,11.5,115,-135,11.5,120,-140,11.5,120,-140,10.5,-120,100,|San Francisco 49ers|,11.5|,115|,-135|,11.5|,115|,-135|,11.5|,115|,-135|,11.5|,115|,-135|,11.5|,120|,-140|,11.5|,120|,-140|,10.5|,-120|,100|,|San Francisco 49ers|11.5|115|-135|11.5|115|-135|11.5|115|-135|11.5|115|-135|11.5|120|-140|11.5|120|-140|10.5|-120|100|
SEA,Seattle Seahawks,2023,reg,nfl,8.5,-130,110,8.5,-120,100,8.5,-120,100,8.5,-120,100,8.5,-120,100,8.5,-130,110,8.5,-130,110,8.5,-130,110,|Seattle Seahawks|,8.5|,-120|,100|,8.5|,-120|,100|,8.5|,-120|,100|,8.5|,-120|,100|,8.5|,-130|,110|,8.5|,-130|,110|,8.5|,-130|,110|,|Seattle Seahawks|8.5|-120|100|8.5|-120|100|8.5|-120|100|8.5|-120|100|8.5|-130|110|8.5|-130|110|8.5|-130|110|
TB,Tampa Bay Buccaneers,2023,reg,nfl,6.5,110,-130,6.5,-110,-110,6.5,-110,-110,6.5,-110,-110,6.5,-110,-110,6.5,110,-130,6.5,110,-130,6.5,110,-130,|Tampa Bay Buccaneers|,6.5|,-110|,-110|,6.5|,-110|,-110|,6.5|,-110|,-110|,6.5|,-110|,-110|,6.5|,110|,-130|,6.5|,110|,-130|,6.5|,110|,-130|,|Tampa Bay Buccaneers|6.5|-110|-110|6.5|-110|-110|6.5|-110|-110|6.5|-110|-110|6.5|110|-130|6.5|110|-130|6.5|110|-130|
TEN,Tennessee Titans,2023,reg,nfl,7.5,110,-130,7.5,110,-130,7.5,110,-130,7.5,110,-130,7.5,110,-130,7.5,110,-130,7.5,110,-130,7.5,110,-130,|Tennessee Titans|,7.5|,110|,-130|,7.5|,110|,-130|,7.5|,110|,-130|,7.5|,110|,-130|,7.5|,110|,-130|,7.5|,110|,-130|,7.5|,110|,-130|,|Tennessee Titans|7.5|110|-130|7.5|110|-130|7.5|110|-130|7.5|110|-130|7.5|110|-130|7.5|110|-130|7.5|110|-130|
WAS,Washington Commanders,2023,reg,nfl,6.5,-120,100,7.5,120,-150,7.5,120,-150,7.5,120,-150,7.5,120,-150,6.5,-120,100,6.5,-120,100,6.5,-120,100,|Washington Commanders|,7.5|,120|,-150|,7.5|,120|,-150|,7.5|,120|,-150|,7.5|,120|,-150|,6.5|,-120|,100|,6.5|,-120|,100|,6.5|,-120|,100|,|Washington Commanders|7.5|120|-150|7.5|120|-150|7.5|120|-150|7.5|120|-150|6.5|-120|100|6.5|-120|100|6.5|-120|100|
MIN,Minnesota Vikings,2023,reg,nfl,8.5,-120,100,8.5,-130,110,8.5,-120,100,8.5,-120,100,8.5,-120,100,8.5,-120,100,8.5,-120,100,8.5,-120,100,|Minnesota Vikings|,8.5|,-130|,110|,8.5|,-120|,100|,8.5|,-120|,100|,8.5|,-120|,100|,8.5|,-120|,100|,8.5|,-120|,100|,8.5|,-120|,100|,|Minnesota Vikings|8.5|-130|110|8.5|-120|100|8.5|-120|100|8.5|-120|100|8.5|-120|100|8.5|-120|100|8.5|-120|100|
